tau_i,T_i,sim_i,subj_id,loc_id,exec_t,finetune
12755,105,0.243991392256893,id86237981,left_wrist,4.2218770980835,maxima
12859,104,0.294588209746299,id86237981,left_wrist,4.2218770980835,maxima
12962,104,0.244050675421768,id86237981,left_wrist,4.2218770980835,maxima
13065,105,0.299880624430556,id86237981,left_wrist,4.2218770980835,maxima
13169,102,0.242478782007218,id86237981,left_wrist,4.2218770980835,maxima
13270,105,0.288326299146076,id86237981,left_wrist,4.2218770980835,maxima
13374,105,0.296514768341741,id86237981,left_wrist,4.2218770980835,maxima
13478,104,0.276908854605502,id86237981,left_wrist,4.2218770980835,maxima
13581,106,0.288391981360693,id86237981,left_wrist,4.2218770980835,maxima
13686,103,0.237014690132807,id86237981,left_wrist,4.2218770980835,maxima
13788,105,0.266543309952497,id86237981,left_wrist,4.2218770980835,maxima
13892,106,0.232962134222635,id86237981,left_wrist,4.2218770980835,maxima
13997,108,0.274327484840175,id86237981,left_wrist,4.2218770980835,maxima
14104,103,0.315655204988615,id86237981,left_wrist,4.2218770980835,maxima
14206,105,0.272663955403969,id86237981,left_wrist,4.2218770980835,maxima
14310,107,0.336385233875138,id86237981,left_wrist,4.2218770980835,maxima
14416,105,0.281699170249177,id86237981,left_wrist,4.2218770980835,maxima
14520,105,0.313941709258954,id86237981,left_wrist,4.2218770980835,maxima
14624,106,0.338869670178361,id86237981,left_wrist,4.2218770980835,maxima
14729,105,0.266318997904513,id86237981,left_wrist,4.2218770980835,maxima
14833,104,0.316877898064751,id86237981,left_wrist,4.2218770980835,maxima
14936,107,0.324700931834672,id86237981,left_wrist,4.2218770980835,maxima
15042,107,0.354550678351606,id86237981,left_wrist,4.2218770980835,maxima
15148,105,0.301921835269121,id86237981,left_wrist,4.2218770980835,maxima
15252,106,0.368470855681092,id86237981,left_wrist,4.2218770980835,maxima
15357,103,0.275196465072136,id86237981,left_wrist,4.2218770980835,maxima
15459,107,0.315572499695681,id86237981,left_wrist,4.2218770980835,maxima
15565,105,0.3234818400095,id86237981,left_wrist,4.2218770980835,maxima
15669,104,0.284205463923437,id86237981,left_wrist,4.2218770980835,maxima
